ID,NAME,VOL,DEN,PLD_A,LCD_A,Sa_m2cm-3,Sa_m2g-1,Va_A3,Va_m3m-3,Va_cm3g-1,CH4_UC,CH4_Qst,CH4_Qff,CH4_Qfm,N2_UC,N2_Qst,N2_Qff,N2_Qfm,CH4_bar,N2_bar,CH4_UC_Z,N2_UC_Z,CH4_Ds,N2_Ds,Sads_CH4_N2,Sdiff_CH4_N2,P_CH4,P_N2,Sperm_N2_CH4
35,MN11285,4455.74023,1.43324,3.4139,4.56973,0.0,0.0,2647.11011,0.59409,0.41451,1.12346,19.0654425,0.1483949,16.439337,0.27047,14.8709482,0.1059167,12.287321,0.4989397,0.4998287,1.11111,0.22222,9.312000000000001e-10,1.962e-09,4.153732391762487,0.4746177370030581,23403.98426269748,11850.432255105288,0.5063425151072735
36,MN11310,4456.60986,1.42696,3.46725,5.79435,0.0,0.0,2693.16992,0.60431,0.42349,1.21235,18.3178271,0.1562104,15.6839061,0.30406,14.2893251,0.114655,11.6969596,0.4989397,0.4998287,1.16667,0.27778,9.417e-10,2.422e-09,3.987206472406762,0.38881090008257635,25535.572162085868,16442.40374268627,0.6439019121372676
37,MN11335,7396.3501,1.13677,3.39846,4.88274,0.0,0.0,4460.2998,0.60304,0.53048,1.74363,19.4631558,0.1851641,16.8002812,0.40659,15.1703792,0.1277302,12.5649384,0.4989397,0.4998287,1.66667,0.33333,8.994e-10,2.646e-09,4.2884232273297425,0.33990929705215417,21134.805987351658,14473.196366909584,0.6848038432702537
38,MN11344,13971.5,0.85109,6.37121,8.55357,1663.68994,1954.78003,9378.37988,0.67125,0.78869,2.45347,16.9564332,0.1787387,14.299984,0.69734,12.1575742,0.1215134,9.5583502,0.4989397,0.4998287,2.33333,0.66667,1.424e-08,1.784e-08,3.51832678463877,0.7982062780269059,249262.0715935708,88599.59940625794,0.3554475770815313
39,MN11361,7636.20996,1.09756,3.46953,5.78937,0.0,0.0,4717.95996,0.61784,0.56292,2.47054,19.1241352,0.2088557,16.437569,0.58198,15.024788,0.1530108,12.3940666,0.4989397,0.4998287,2.44444,0.55556,1.627e-09,3.212e-09,4.245059967696484,0.5065379825653799,52469.89488329867,24357.977230811848,0.4642276735066429
40,MN11370,13971.5,0.85109,6.37121,8.55357,1663.68994,1954.78003,9378.37988,0.67125,0.78869,2.45347,16.9564332,0.1787387,14.299984,0.69734,12.1575742,0.1215134,9.5583502,0.4989397,0.4998287,2.33333,0.66667,1.15e-08,9.34e-09,3.51832678463877,1.2312633832976447,201300.12804256068,46385.66471157226,0.23043037857266035
41,MN11387,7636.20996,1.09756,3.46953,5.78937,0.0,0.0,4717.95996,0.61784,0.56292,2.47054,19.1241352,0.2088557,16.437569,0.58198,15.024788,0.1530108,12.3940666,0.4989397,0.4998287,2.44444,0.55556,1.673e-09,3.109e-09,4.245059967696484,0.5381151495657768,53953.37070667403,23576.883938541112,0.4369863018701935
42,MN11413,7603.72998,1.10225,3.5281,5.31183,0.0,0.0,4679.56006,0.61543,0.55834,1.7449,18.7920461,0.1667006,16.1476349,0.45284,14.6431943,0.1187788,12.0467051,0.4989397,0.4998287,1.66667,0.44444,1.327e-09,3.351e-09,3.8532373465241583,0.3960011936735303,30354.56985266277,19857.688739541038,0.6541910768601807
43,MN11466,6373.37012,1.41495,3.34847,4.55416,0.0,0.0,3501.1499,0.54934,0.38824,2.36455,21.4722065,0.209102,18.785394,0.50311,17.3012973,0.1588244,14.6647623,0.4989397,0.4998287,2.33333,0.44444,4.129e-10,6.21e-10,4.699866828327801,0.6648953301127214,15269.783623185813,4877.765527231648,0.3194390731133343
44,MN11488,10424.5996,1.04865,6.15842,7.84392,1260.13,1201.67004,6609.72998,0.63405,0.60463,1.64418,15.6900263,0.1273795,13.0849363,0.51368,12.3071338,0.0997446,9.7296787,0.4989397,0.4998287,1.5,0.5,7.68e-09,8.749e-09,3.2007864818564085,0.8778146073837011,120742.27382946368,42896.979625602566,0.3552772220124845
45,MN11540,8646.76953,1.00619,3.70233,5.76065,606.66699,602.93298,5513.77979,0.63767,0.63375,1.7076,16.6567332,0.1453903,14.0336324,0.47193,13.0899072,0.1149195,10.4972771,0.4989397,0.4998287,1.66667,0.44444,2.489e-09,2.577e-09,3.6183332273854174,0.9658517656189367,48996.67301070792,13995.049053200422,0.28563263979458137
46,MN11542,10147.2998,1.10361,5.82176,7.1023,876.552,794.25897,6069.62012,0.59815,0.54199,2.53248,18.1062705,0.1552382,15.4733218,0.61653,13.903337,0.1156517,11.3099747,0.4989397,0.4998287,2.5,0.5,4.019e-09,4.349e-09,4.107634664979806,0.9241204874683836,99981.9510150647,26292.269207909263,0.2629701555228473
47,MN11590,6376.72021,1.2643,3.32515,4.66178,0.0,0.0,3685.48999,0.57796,0.45714,1.74034,20.4892597,0.1649602,17.8465889,0.35528,15.9946058,0.1246033,13.392292,0.4989397,0.4998287,1.66667,0.33333,2.753e-10,9.656e-10,4.898502589506868,0.2851077050538525,7489.483016936904,5353.113061234208,0.7147506776006494
48,MN11603,5838.83008,1.32153,3.37295,4.81111,0.0,0.0,3340.91992,0.57219,0.43298,1.79213,20.5484036,0.1701008,17.9005922,0.35933,16.0768897,0.124735,13.4744441,0.4989397,0.4998287,1.77778,0.33333,3.769e-10,3.48e-10,4.9874210335902935,1.0830459770114944,11531.314717728417,2130.9966709666573,0.18480084215292736
49,MN11627,5518.29004,1.21025,3.79951,5.85644,912.74902,754.18298,3537.21997,0.641,0.52964,1.11967,17.3953061,0.1416883,14.7759072,0.30595,13.1574769,0.1014167,10.5783496,0.4989397,0.4998287,1.11111,0.22222,2.201e-09,3.768e-09,3.6596502696519035,0.5841295116772823,44515.88647911663,20787.064580887174,0.4669583428522498
50,MN11636,14882.7998,0.80787,6.90164,8.4578,1811.09998,2241.84009,10468.2002,0.70338,0.87066,1.73641,13.3929391,0.1457054,10.7695231,0.725,10.9281438,0.1050897,8.3453436,0.4989397,0.4998287,1.66667,0.66667,1.763e-08,2.52e-08,2.3950482758620693,0.6996031746031746,205036.68260337942,122149.69737522755,0.5957455798849053
51,MN11652,8168.6499,1.11071,3.88935,4.50374,215.242,193.787,4888.2002,0.59841,0.53876,1.55007,19.7741371,0.1689079,17.1275187,0.35506,15.5925568,0.1133982,13.001448,0.4989397,0.4998287,1.44444,0.33333,9.165e-10,9.362e-10,4.365656508759083,0.9789574877163,17335.74933096866,4049.077560774967,0.23356807274212696
52,MN11662,6580.62012,1.32211,3.11829,4.86152,0.0,0.0,3611.63989,0.54883,0.41512,2.51672,21.8037835,0.2098676,19.1162053,0.46066,17.1662958,0.1588198,14.5297655,0.4989397,0.4998287,2.44444,0.44444,3.396e-10,4.871e-10,5.46329179872357,0.6971874358447957,12946.279053310143,3392.8752113395767,0.2620733878335549
53,MN117,4289.29004,1.07127,5.04575,8.09215,2025.95996,1891.17004,2869.79004,0.66906,0.62455,0.71565,14.5292914,0.1537031,11.8978777,0.25772,11.9113778,0.1148859,9.3187814,0.4989397,0.4998287,0.66667,0.22222,1.921e-08,1.345e-08,2.776850845879249,1.4282527881040894,319486.0964363129,80412.06251334421,0.2516918996172146
54,MN11720,15651.4003,0.7325,6.60914,10.2927,2292.36011,3129.5,11521.4003,0.73613,1.00495,1.55547,12.2307545,0.0992945,9.6537495,0.63861,9.5519046,0.0723814,7.0018127,0.4989397,0.4998287,1.5,0.5,2.663e-08,3.028e-08,2.435711936862874,0.8794583883751652,263809.86843658873,122935.32373883962,0.4659997158839767
55,MN11746,15684.4003,0.86559,6.63314,9.2219,1952.0,2255.12988,11063.7002,0.7054,0.81494,1.71345,13.1426344,0.1106226,10.5543012,0.71722,10.6388785,0.0811528,8.0800151,0.4989397,0.4998287,1.5,0.5,2.206e-08,2.525e-08,2.38901592259,0.8736633663366337,240226.53699617274,114890.64902568696,0.4782596063794458
56,MN11875,3394.86011,1.77924,3.34875,4.58951,0.0,0.0,1838.79004,0.54164,0.30442,1.64764,22.0722945,0.2429069,19.3516771,0.31628,17.4524019,0.1754781,14.7992132,0.4989397,0.4998287,1.61111,0.27778,1.597e-10,7.619e-10,5.2094346781333,0.20960756004725029,7726.001890391116,7062.917652944754,0.9141749837945232
57,MN14601,4493.25977,0.98181,3.76384,7.80648,1441.48999,1468.18994,2832.94995,0.63049,0.64217,1.12648,16.2921147,0.2306491,13.5837551,0.37137,13.4517738,0.174868,10.7991952,0.4989397,0.4998287,1.11111,0.33333,5.472e-09,6.535e-09,3.0333090987424938,0.8373374139250191,136747.01512121854,53743.70007332489,0.3930155259746191
58,MN14824,4495.08008,0.92829,2.81743,7.89335,0.0,0.0,2794.67993,0.62172,0.66975,1.03402,16.0167522,0.1841754,13.3548662,0.30936,12.7183135,0.1459471,10.0946558,0.4989397,0.4998287,1.0,0.22222,1.943e-09,2.217e-09,3.3424489268166533,0.8764095624718087,44552.643961230984,15181.981813168557,0.3407650021035717
59,MN15909,5654.52979,0.71623,3.5464,15.09328,0.0,0.0,4067.69995,0.71937,1.00439,0.67656,12.876648,0.1174104,10.281527,0.26509,10.0635627,0.0905672,7.495285,0.4989397,0.4998287,0.625,0.25,1.616e-09,3.572e-09,2.5521898223244937,0.45240761478163494,19273.47685638905,16662.64953926985,0.8645378134639092
