ID,NAME,VOL,DEN,PLD_A,LCD_A,Sa_m2cm-3,Sa_m2g-1,Va_m3m-3,Va_cm3g-1,C2H6_Hen,C2H6_Qst,C2H4_Hen,C2H4_Qst,C2H6_Ds,C2H4_Ds,C2H6_P0,C2H4_P0,C2H6_P0_barrer,C2H4_P0_barrer,Sads_C2H6_C2H4,Sads_C2H4_C2H6,Sdiff_C2H4_C2H6,Sperm_C2H6_C2H4,Sperm_C2H4_C2H6
2304,MM26325,7914.4,0.73953,4.79493,8.94532,1829.49,2473.87,0.70957,0.95949,4.05e-05,15.0607,3.253e-05,18.238675,9.44e-09,1.178e-08,2.827371096e-10,2.83390410402e-10,846518.2922155691,848474.2826407187,1.2450046111281894,0.8032098765432099,1.2478813559322033,0.9976946968633368,1.0023106298388784
2094,MM21747,5445.78,0.86461,6.04726,9.21554,2009.55,2324.23,0.68086,0.78748,4.43e-05,16.2414,4.11e-05,19.673088,9.2e-09,9.939e-09,3.5238045159999997e-10,3.531870462690001e-10,1055031.292215569,1057446.2463143717,1.0778588807785887,0.9277652370203161,1.0803260869565219,0.997716239376498,1.0022889881244483
570,MN42335,3771.53003,1.09328,4.38889,5.88787,1782.70996,1630.59998,0.66766,0.61069,2.759e-05,13.486746,2.422e-05,18.022225,4.59e-09,5.228e-09,1.38450901968e-10,1.3843347508479997e-10,414523.65858682635,414471.4822898203,1.1391412056151942,0.8778542950344328,1.1389978213507626,1.000125886337747,0.9998741295076283
1324,MN60572,16892.9003,0.59274,7.81965,11.15885,2178.02002,3674.46997,0.77421,1.30615,1.987e-05,14.152913,1.698e-05,16.399164,9.103e-09,1.064e-08,1.0721280181140001e-10,1.07088676128e-10,320996.4126089821,320624.7788263473,1.1702002355712604,0.8545546049320584,1.168845435570691,1.0011590925192844,0.9988422494207513
1361,MN61639,11692.2998,0.63362,7.07298,11.99004,2187.63989,3452.59009,0.76481,1.20705,2.389e-05,16.133363,1.882e-05,15.595097,1.274e-08,1.614e-08,1.92847696132e-10,1.92465116376e-10,577388.3117724552,576242.8634011977,1.269394261424017,0.787777312683131,1.2668759811616954,1.0019877875180903,0.9980161559423653
2195,MM25650,16875.1,0.5903,6.48795,17.41169,2122.39,3595.43,0.75776,1.28368,2.59e-05,15.0826,2.212e-05,17.652019,8.27e-09,9.657e-09,1.2643812790000003e-10,1.2609565945200004e-10,378557.26916167676,377531.91452694626,1.170886075949367,0.8540540540540541,1.1677146311970978,1.0027159416072553,0.9972914147521162
1803,MN7468,13297.5996,0.74916,7.51173,11.13154,2124.26001,2835.53003,0.73676,0.98345,2.159e-05,14.603685,1.631e-05,16.130612,8.25e-09,1.088e-08,1.3343850630000001e-10,1.3294053964800002e-10,399516.4859281438,398025.5678083834,1.3237277743715512,0.7554423344140806,1.3187878787878788,1.0037457847946043,0.996268193748509
721,MN43220,2263.26001,1.33442,4.74866,6.96529,1221.87,915.65698,0.65465,0.49059,1.001e-05,12.318109,9.098e-06,17.291538,1.085e-08,1.189e-08,1.4492935457e-10,1.4435117707239996e-10,433920.2232634731,432189.1529113772,1.1002418113871182,0.9088911088911088,1.0958525345622119,1.004005353536605,0.9960106253193809
431,MN15571,8807.21973,0.6383,7.06694,10.98764,2149.34009,3367.28003,0.7445,1.16638,3.063e-05,14.684188,2.362e-05,16.783418,7.611e-09,9.82e-09,1.4880364281900002e-10,1.4805266372e-10,445519.88867964083,443271.4482634731,1.2967823878069433,0.771139405811296,1.2902378136907109,1.0050723781668682,0.9949532210047204
180,MN11094,9423.13965,1.02762,5.84316,6.90899,1648.96997,1604.65002,0.65138,0.63387,2.593e-05,13.093798,2.49e-05,17.88504,8.844e-09,9.163e-09,2.3565887429039995e-10,2.34460443294e-10,705565.4918874251,701977.3751317366,1.0413654618473895,0.9602776706517546,1.0360696517412937,1.005111442167228,0.9949145518071043
