ID,NAME,VOL,DEN,PLD_A,LCD_A,Sa_m2cm-3,Sa_m2g-1,Va_A3,Va_m3m-3,Va_cm3g-1,C2H6_UC,C2H6_Qst,C2H6_Qff,C2H6_Qfm,C2H4_UC,C2H4_Qst,C2H4_Qff,C2H4_Qfm,C2H6_bar,C2H4_bar,C2H6_UC_Z,C2H4_UC_Z,C2H6_Ds,C2H4_Ds,Sads_C2H6_C2H4,Sdiff_C2H6_C2H4,P_C2H6,P_C2H4,Sperm_C2H6_C2H4
25,MM3267,12218.7,0.61861,7.01104,8.51195,2330.06,3766.63,9355.51,0.76567,1.23773,5.03576,17.9743844,1.9034898,13.593184,6.33681,16.3683378,1.6931978,12.1974295,0.4958603,0.4967872,5.0,6.33333,3.296e-08,3.554e-08,0.794683760440979,0.9274057400112549,1469109.9977678442,1845223.2469880017,0.7961692441095702
26,MM3268,12222.5,0.61622,6.93204,8.92828,2349.61,3812.91,9393.83,0.76857,1.24722,4.48967,17.4804288,1.6857634,13.3169549,5.69937,15.9345346,1.5075516,11.9492725,0.4958603,0.4967872,4.33333,5.66667,3.299e-08,3.262e-08,0.7877484704449791,1.0113427345187003,1201812.7645195385,1522783.5796762106,0.7892209901390451
27,MM523,12186.5,0.65566,6.25456,8.29344,2288.28,3490.05,8879.18,0.72861,1.11127,11.02039,22.1454762,3.3850486,16.2827171,12.64677,20.3947961,3.1175584,14.7995272,0.4958603,0.4967872,11.0,12.625,1.439e-08,1.578e-08,0.8713995747530793,0.9119138149556401,1431277.7941330944,1639440.0151525184,0.8730284614896029
28,MM525,12182.0,0.6603,6.49174,8.0343,2296.0,3477.24,8830.59,0.72489,1.09783,12.70529,23.2171095,3.9892743,16.7501246,14.60893,20.9486945,3.5316619,14.9393221,0.4958603,0.4967872,12.625,14.5,1.337e-08,1.429e-08,0.8696933998588534,0.9356193142057383,1494847.5421247452,1715614.3447176532,0.8713190972827634
29,MM578,12189.4,0.6511,6.35215,8.0477,2375.27,3648.08,8980.32,0.73673,1.13151,9.3731,21.5691507,2.9857482,16.105692,10.96125,19.4115807,2.7020514,14.2318187,0.4958603,0.4967872,9.25,10.875,1.621e-08,1.731e-08,0.8551123275173909,0.9364529173887927,1335040.878893425,1558333.2524581444,0.8567107688856066
30,MM8499,9028.91,0.70772,6.49268,7.83991,2206.58,3117.9,6447.9,0.71414,1.00908,7.02611,21.8462023,3.1033154,16.2651764,8.30301,19.9942756,2.8288215,14.6877436,0.4958603,0.4967872,7.0,8.25,1.126e-08,1.399e-08,0.8462123976726512,0.8048606147248034,1091931.5842201728,1287967.7412949358,0.8477942026112655
31,MM8526,9074.43,0.71575,7.00972,7.91424,2195.5,3067.42,6716.62,0.74017,1.03412,5.04367,19.6635863,2.3793206,14.8065552,6.03285,17.7942773,2.110843,13.2057238,0.4958603,0.4967872,5.0,6.0,1.827e-08,2.085e-08,0.836034378444682,0.8762589928057554,1162334.4939389816,1387701.0959788691,0.8375971578512615
32,MM8679,7193.39,0.63135,7.99161,9.20288,2131.74,3376.47,5491.0,0.76334,1.20906,2.25655,17.1996527,1.4618284,13.2601137,2.92048,15.7873531,1.2965196,12.013123,0.4958603,0.4967872,2.22222,2.88889,2.681e-08,2.469e-08,0.7726640826165562,1.0858647225597406,776837.7663272214,1003525.8122622005,0.7741084054191222
33,MM8937,9091.16,0.7334,7.5942,9.83608,2127.37,2900.7,6702.37,0.73724,1.00524,4.97405,19.7274447,2.3331575,14.9165767,5.93342,17.916579,2.0932918,13.3455767,0.4958603,0.4967872,4.75,5.75,1.876e-08,2.089e-08,0.8383107887188165,0.8980373384394447,1146375.1967508283,1364930.9040653312,0.839877823365598
34,MN10933,11663.7998,0.7619,7.70406,9.26649,1897.68005,2490.71997,8439.36035,0.72355,0.94967,5.90387,21.573826,2.5355777,16.5605378,7.26325,20.0179773,2.4190537,15.121213,0.4958603,0.4967872,5.83333,7.16667,1.136e-08,1.077e-08,0.8128413588958111,1.0547818012999073,546775.7049101742,671417.0372166173,0.814360784136268
