ID,NAME,VOL,DEN,PLD_A,LCD_A,Sa_m2cm-3,Sa_m2g-1,Va_A3,Va_m3m-3,Va_cm3g-1,C2H6_UC,C2H6_Qst,C2H6_Qff,C2H6_Qfm,C2H4_UC,C2H4_Qst,C2H4_Qff,C2H4_Qfm,C2H6_bar,C2H4_bar,C2H6_UC_Z,C2H4_UC_Z,C2H6_Ds,C2H4_Ds,Sads_C2H6_C2H4,Sdiff_C2H6_C2H4,P_C2H6,P_C2H4,Sperm_C2H4_C2H6
36,MM23705,10315.8,0.57716,7.75779,12.0774,2150.49,3726.0,7879.1,0.76379,1.32337,4.42873,19.251417,1.877984,14.8957225,5.29088,15.968249,1.4746205,12.0159179,0.4958603,0.4967872,4.375,5.25,1.344e-08,2.035e-08,0.837049791339059,0.6604422604422604,578726.7161431159,1044903.8399054462,1.805522037878492
37,MM24410,6948.1,0.50554,7.09483,8.42539,2370.63,4689.33,5363.52,0.77194,1.52697,4.38738,20.5268531,2.8171406,15.232002,5.04422,18.2830243,2.4469213,13.3583924,0.4958603,0.4967872,4.33333,5.0,1.38e-08,1.595e-08,0.8697836335449287,0.8652037617554859,874008.5514186664,1159244.3630557952,1.3263535707678626
38,MM25471,17268.8,0.41074,6.70663,20.46775,1876.78,4569.19,13943.4,0.80743,1.96577,4.15697,17.7767408,1.0829084,14.2161219,5.39668,16.3953181,0.9699467,12.9476608,0.4958603,0.4967872,4.125,5.375,1.405e-08,1.894e-08,0.770282840561234,0.7418162618796199,339224.4233503731,592556.1110495835,1.746796722939825
39,MM25653,14459.7,0.47928,7.87994,21.24023,1779.29,3712.41,11754.2,0.81289,1.69606,2.94312,17.2099304,0.9051665,13.8270533,3.91346,15.3267401,0.8164156,12.0326139,0.4958603,0.4967872,2.875,3.875,2.127e-08,2.197e-08,0.7520506150567529,0.9681383705052344,434222.04457403923,595273.16579623,1.3708957737974308
40,MM26143,7685.73,0.65286,7.38799,15.10545,1517.55,2324.47,5464.4,0.71098,1.08902,4.29199,22.066738,1.3424201,18.2466074,4.3764,19.4665009,1.2816567,15.7071336,0.4958603,0.4967872,4.25,4.375,2.521e-09,3.028e-09,0.9807124577278128,0.832562747688243,141203.07407364767,172613.3678367613,1.2224476624831189
41,MM26337,3420.37,1.09291,5.56036,6.95577,945.571,865.19,2223.41,0.65005,0.59479,6.37241,30.7577502,6.202298,22.0777416,6.71371,27.8746736,5.5400962,19.8568669,0.4958603,0.4967872,6.33333,6.66667,1.355e-09,1.838e-09,0.9491637261663075,0.7372143634385201,253202.4576912783,361178.53941716056,1.426441681136974
42,MM3079,38230.8,0.85928,7.86595,12.51851,1683.52,1959.21,26737.5,0.69937,0.8139,17.37592,20.2306244,1.8517039,15.90121,19.6733,18.1045763,1.6464461,13.9804197,0.4958603,0.4967872,17.0,19.5,1.309e-08,1.616e-08,0.8832234551397071,0.8100247524752475,596721.051541731,832513.7533592547,1.3951472823161055
43,MM423,5805.95,0.98892,4.27193,10.12171,1576.3,1593.95,3892.31,0.6704,0.67791,5.07384,23.626686,2.9985435,18.150432,5.29598,21.0655761,2.7615686,15.8262969,0.4958603,0.4967872,5.0,5.25,3.53e-09,3.901e-09,0.9580549775490088,0.9048961804665471,309411.00755725434,356234.1208185804,1.1513298238190888
44,MM535,19965.7,0.70116,6.65278,9.13463,2123.02,3027.86,14238.8,0.71316,1.01711,15.77712,21.9102003,3.1555489,16.2769409,17.74721,19.9382886,2.8544291,14.6061489,0.4958603,0.4967872,15.75,17.5,1.051e-08,1.241e-08,0.8889915654347923,0.8468976631748589,832993.7335470817,1104338.2141996517,1.325746124760293
45,MM8548,9071.72,0.76872,6.13899,8.96824,2255.44,2934.04,6463.06,0.71244,0.92679,6.38378,21.1969784,2.7876497,15.9316182,7.20167,19.1853176,2.5470289,14.1605781,0.4958603,0.4967872,6.25,7.0,1.05e-08,1.219e-08,0.8864305084792833,0.8613617719442165,741096.9419838022,968798.9830754673,1.3072500076469642
46,MM8912,9060.16,0.69195,7.78578,10.47042,2318.54,3350.75,6785.79,0.74897,1.08241,5.30863,19.856726,2.3078157,15.0711997,6.28559,18.0450786,2.1129728,13.4543952,0.4958603,0.4967872,5.25,6.25,1.81e-08,2.125e-08,0.844571472208655,0.851764705882353,1063708.7750835726,1475895.5898645138,1.3874996845340086
47,MN10948,6048.68018,1.2185,3.68347,5.48223,442.26001,362.95499,3692.29004,0.61043,0.50097,6.16548,30.2402221,2.7136392,25.0488723,7.29788,27.5084845,2.3580564,22.6727175,0.4958603,0.4967872,6.11111,7.22222,1.514e-10,2.324e-10,0.8448316497393763,0.6514629948364887,15478.559179861499,28071.107444570414,1.8135478320936067
48,MN10950,9416.33984,1.20757,5.1812,7.27882,1087.52002,900.591,5494.72021,0.58353,0.48323,8.28699,26.7443396,2.9956847,21.2709443,8.36602,24.9009302,2.6821306,19.741089,0.4958603,0.4967872,8.16667,8.33333,1.461e-09,1.309e-09,0.9905534531354214,1.1161191749427044,128962.1720835014,116429.43633234556,0.9028185122142558
49,MN10952,9429.5,1.17621,5.58227,6.58804,1539.01001,1308.43994,5843.27002,0.61968,0.52684,9.01993,26.3904763,4.0329359,19.8798299,9.96556,23.9437479,3.5941504,17.871887,0.4958603,0.4967872,9.0,9.83333,3.435e-09,3.857e-09,0.9051101995271716,0.890588540316308,329563.52212028694,408083.95119915286,1.2382558256863356
50,MN10954,9702.79004,1.06919,6.2256,8.21098,1677.56995,1569.01001,6207.35986,0.63975,0.59835,8.97421,25.9572824,3.7474575,19.7321144,9.9477,23.4523281,3.4874043,17.4872132,0.4958603,0.4967872,8.83333,9.83333,4.497e-09,4.642e-09,0.9021391879529942,0.9687634640241274,417176.83959054004,476450.54830879247,1.1420829324476156
51,MN10955,7973.77002,1.17593,5.7399,6.976,1024.89001,871.55402,4950.12012,0.6208,0.52792,5.72268,26.2190253,2.4717422,21.2695725,6.7179,23.6167176,2.3465525,18.7924545,0.4958603,0.4967872,5.66667,6.66667,2.975e-09,1.999e-09,0.8518554905550842,1.4882441220610307,214150.9994042819,168604.41549695376,0.7873155668942564
52,MN10975,9708.91016,0.95088,6.45966,7.99704,1777.56995,1869.39001,6409.91992,0.66021,0.69431,6.89258,24.1324464,2.8018592,18.8528767,7.85066,21.897338,2.6475393,16.7720881,0.4958603,0.4967872,6.83333,7.83333,4.06e-09,5.089e-09,0.8779618528888016,0.7977991746905089,289091.31627729663,411959.7242661268,1.4250159069841264
